Código del ámbito,Ámbito,Código del área (M49),Área,Código del elemento,Elemento,Código del producto (CPC),Producto,Código del año,Año,Código Meses,Meses,Unidad,Valor,Símbolo,Descripción del Símbolo
"PP","Precios al Productor","152","Chile","5531","Precio al productor (SLC/tonelada)","01311","Aguacates","1991","1991","7021","Valor anual","SLC","278318","A","Cifra oficial"
"PP","Precios al Productor","152","Chile","5531","Precio al productor (SLC/tonelada)","01311","Aguacates","1992","1992","7021","Valor anual","SLC","316852","A","Cifra oficial"
"PP","Precios al Productor","152","Chile","5531","Precio al productor (SLC/tonelada)","01311","Aguacates","1993","1993","7021","Valor anual","SLC","328914","A","Cifra oficial"
"PP","Precios al Productor","152","Chile","5531","Precio al productor (SLC/tonelada)","01311","Aguacates","1994","1994","7021","Valor anual","SLC","387772","A","Cifra oficial"
"PP","Precios al Productor","152","Chile","5531","Precio al productor (SLC/tonelada)","01311","Aguacates","1995","1995","7021","Valor anual","SLC","397542","A","Cifra oficial"
"PP","Precios al Productor","152","Chile","5531","Precio al productor (SLC/tonelada)","01311","Aguacates","1996","1996","7021","Valor anual","SLC","451760","A","Cifra oficial"
"PP","Precios al Productor","152","Chile","5531","Precio al productor (SLC/tonelada)","01311","Aguacates","1997","1997","7021","Valor anual","SLC","471023","A","Cifra oficial"
"PP","Precios al Productor","152","Chile","5531","Precio al productor (SLC/tonelada)","01311","Aguacates","1998","1998","7021","Valor anual","SLC","433774","A","Cifra oficial"
"PP","Precios al Productor","152","Chile","5531","Precio al productor (SLC/tonelada)","01311","Aguacates","1999","1999","7021","Valor anual","SLC","374160","A","Cifra oficial"
"PP","Precios al Productor","152","Chile","5531","Precio al productor (SLC/tonelada)","01311","Aguacates","2000","2000","7021","Valor anual","SLC","611180","A","Cifra oficial"
"PP","Precios al Productor","152","Chile","5531","Precio al productor (SLC/tonelada)","01311","Aguacates","2001","2001","7021","Valor anual","SLC","416530","A","Cifra oficial"
"PP","Precios al Productor","152","Chile","5531","Precio al productor (SLC/tonelada)","01311","Aguacates","2002","2002","7021","Valor anual","SLC","371960","A","Cifra oficial"
"PP","Precios al Productor","152","Chile","5531","Precio al productor (SLC/tonelada)","01311","Aguacates","2003","2003","7021","Valor anual","SLC","444040","A","Cifra oficial"
"PP","Precios al Productor","152","Chile","5531","Precio al productor (SLC/tonelada)","01311","Aguacates","2004","2004","7021","Valor anual","SLC","339660","A","Cifra oficial"
"PP","Precios al Productor","152","Chile","5531","Precio al productor (SLC/tonelada)","01311","Aguacates","2005","2005","7021","Valor anual","SLC","385600","A","Cifra oficial"
"PP","Precios al Productor","152","Chile","5531","Precio al productor (SLC/tonelada)","01311","Aguacates","2006","2006","7021","Valor anual","SLC","367720","A","Cifra oficial"
